#,$id,label (en),label (fr),label (de),
url,,rdfs:label,rdfs:label,rdfs:label,
lang,,en,fr,de,
meta,,title (en),Information society indicator,en,dc:title
meta,,title (fr),Indicateur sur la société de l'information,fr,dc:title
meta,,title (de),Indikator zur Informationsgesellschaft,de,dc:title
meta,,source,http://epp.eurostat.ec.europa.eu/cache/ITY_FIXDST/tin00075.xml,url,dc:source
,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,Internet access at home,Accès à Internet à domicile,Internetzugang zuhause,
,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IWRK,Internet access at place of work,Accès à Internet sur le lieu de travail,Internetzugang am Arbeitsplatz,
,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IED,Internet access at place of education,Accès à Internet sur le lieu de formation,Internetzugang in der Bildungseinrichtung,
,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IOTH,Internet access at other places,Accès à Internet dans d'autres lieux,Internetzugang an anderen Orten,
