#,$id,Information society indicator,Geopolitical entity (declaring),"Period of time (a=annual, q=quarterly, m=monthly, d=daily, c=cumulated from January)","Individuals using the Internet, by place of use"
prop,,http://epp.eurostat.ec.europa.eu/def/tin00075#indic_is,http://epp.eurostat.ec.europa.eu/def/tin00075#geo,http://epp.eurostat.ec.europa.eu/def/tin00075#time,http://epp.eurostat.ec.europa.eu/def/tin00075#tin00075
type,,url,url,time,
see,,indic_is.csv,geo.csv,,
meta,,source,url,http://epp.eurostat.ec.europa.eu/cache/ITY_FIXDST/tin00075.xml,dc:source
meta,#col=5,footnote,en,: = not available,rdfs:comment
meta,#col=5,footnote,fr,: = non disponible,rdfs:comment
meta,#col=5,footnote,de,: = nicht verfügbar,rdfs:comment
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2004,33
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2005,40
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2006,41
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2007,47
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2008,53
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2009,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2010,63
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2011,67
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2002,26
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2003,33
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2004,36
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2005,40
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2006,42
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2007,49
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2008,54
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2009,59
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2010,64
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#EA,2011,67
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2004,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2005,47
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2006,53
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2007,60
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2008,63
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2009,69
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2010,73
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BE,2011,77
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2003,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2004,7
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2005,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2006,14
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2007,22
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2008,28
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2009,36
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2010,39
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#BG,2011,44
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2002,:
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2003,17
,,http://epp.eurostat.ec.europa.eu/def/indic_is#I_IHM,http://epp.eurostat.ec.europa.eu/def/geo#CZ,2004,20
