#,$id,Air pollution indicator,Geopolitical entity (declaring),"Period of time (a=annual, q=quarterly, m=monthly, d=daily, c=cumulated from January)",Greenhouse gas emissions
prop,,http://epp.eurostat.ec.europa.eu/def/tsdcc100#airpol,http://epp.eurostat.ec.europa.eu/def/tsdcc100#geo,http://epp.eurostat.ec.europa.eu/def/tsdcc100#time,http://epp.eurostat.ec.europa.eu/def/tsdcc100#tsdcc100
type,,url,url,time,
see,,airpol.csv,geo.csv,,
meta,,source,url,http://epp.eurostat.ec.europa.eu/cache/ITY_FIXDST/tsdcc100.xml,dc:source
meta,#col=5,footnote,en,: = not available,rdfs:comment
meta,#col=5,footnote,fr,: = non disponible,rdfs:comment
meta,#col=5,footnote,de,: = nicht verfügbar,rdfs:comment
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1990,100
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1991,98
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1992,95
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1993,93
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1994,92
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1995,93
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1996,95
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1997,94
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1998,93
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,1999,91
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2000,91
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2001,92
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2002,91
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2003,93
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2004,93
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2005,92
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2006,92
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2007,91
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2008,89
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2009,83
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EU27,2010,85
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#BE,1990,100
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#BE,1991,101
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#BE,1992,100
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#BE,1993,100
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#BE,1994,104
